state,abbreviation,capital
Alabama,AL,Montgomery
Alaska,AK,Juneau
Arizona,AZ,Phoenix
Arkansas,AR,Little Rock
California,CA,Sacramento
Colorado,CO,Denver
Connecticut,CT,Hartford
Delaware,DE,Dover
Florida,FL,Tallahassee
Georgia,GA,Atlanta
Hawái,HI,Honolulu
Idaho,ID,Boise
Illinois,IL,Springfield
Indiana,IN,Indianápolis
Iowa,IA,Des Moines
Kansas,KS,Topeka
Kentucky,KY,Frankfort
Luisiana,LA,Baton Rouge
Maine,ME,Augusta
Maryland,MD,Annapolis
Massachusetts,MA,Boston
Míchigan,MI,Lansing
Minesota,MN,Saint Paul
Misisipi,MS,Jackson
Misuri,MO,Jefferson City
Montana,MT,Helena
Nebraska,NE,Lincoln
Nevada,NV,Carson City
Nuevo Hampshire,NH,Concord
Nueva Jersey,NJ,Trenton
Nuevo México,NM,Santa Fe
Nueva York,NY,Albany
Carolina del Norte,NC,Raleigh
Dakota del Norte,ND,Bismarck
Ohio,OH,Columbus
Oklahoma,OK,Oklahoma City
Oregón,OR,Salem
Pensilvania,PA,Harrisburg
Rhode Island,RI,Providence
Carolina del Sur,SC,Columbia
Dakota del Sur,SD,Pierre
Tennessee,TN,Nashville
Texas,TX,Austin
Utah,UT,Salt Lake City
Vermont,VT,Montpelier
Virginia,VA,Richmond
Washington,WA,Olympia
Virginia Occidental,WV,Charleston
Wisconsin,WI,Madison
Wyoming,WY,Cheyenne
